"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that seat is available and 30% discount is applied with code AF3-FJK-418","2654","TC01: Valid Promo Code Discount","Surefire suite","Thu Mar 12 09:17:23 UTC 2026","passed","Thu Mar 12 09:17:26 UTC 2026","MarsAir.tests.SearchFlightTests","Surefire test","MarsAir.tests.SearchFlightTests","shouldSeeDiscountWhenSearchWithValidPromoCode"
"Verify error message when return date is before departure date","894","TC04: Invalid Date Range","Surefire suite","Thu Mar 12 09:17:27 UTC 2026","passed","Thu Mar 12 09:17:28 UTC 2026","MarsAir.tests.SearchFlightTests","Surefire test","MarsAir.tests.SearchFlightTests","shouldSeeErrorMessageWhenSearchInvalidDateRange"
"Verify system shows 'no more seats' message for full flights","930","TC03: Flight Full Scenario","Surefire suite","Thu Mar 12 09:17:30 UTC 2026","passed","Thu Mar 12 09:17:31 UTC 2026","MarsAir.tests.SearchFlightTests","Surefire test","MarsAir.tests.SearchFlightTests","shouldSeeNoSeatsMessageWhenFlightIsFull"
"Verify that seat is available but no discount is displayed when promo code is empty","10978","TC02: Search without Promo Code","Surefire suite","Thu Mar 12 09:17:32 UTC 2026","passed","Thu Mar 12 09:17:43 UTC 2026","MarsAir.tests.SearchFlightTests","Surefire test","MarsAir.tests.SearchFlightTests","shouldSeeSeatsAvailableWhenSearchWithoutPromoCode"
"Verify system rejects invalid promo code format ABC-FJK-418","1070","TC05: Wrong Promo Code Format","Surefire suite","Thu Mar 12 09:17:28 UTC 2026","passed","Thu Mar 12 09:17:30 UTC 2026","MarsAir.tests.SearchFlightTests","Surefire test","MarsAir.tests.SearchFlightTests","shouldSeeInvalidCodeMessageWhenUseWrongPromoCode"
